symbol,cik,acceptanceTime,periodOfReport,companyName,formType,filingDate,employeeCount,source
AAPL,0000320193,2025-10-31 06:01:26,2025-09-27,Apple Inc.,10-K,2025-10-31,166000,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm
AAPL,0000320193,2024-11-01 06:01:36,2024-09-28,Apple Inc.,10-K,2024-11-01,164000,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm
AAPL,0000320193,2023-11-02 18:08:27,2023-09-30,Apple Inc.,10-K,2023-11-03,161000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm
AAPL,0000320193,2022-10-27 18:01:14,2022-09-24,Apple Inc.,10-K,2022-10-28,164000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm
AAPL,0000320193,2021-10-28 18:04:28,2021-09-25,Apple Inc.,10-K,2021-10-29,154000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm
AAPL,0000320193,2020-10-29 18:06:25,2020-09-26,Apple Inc.,10-K,2020-10-30,147000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm
AAPL,0000320193,2019-10-30 18:12:36,2019-09-28,Apple Inc.,10-K,2019-10-31,137000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm
AAPL,0000320193,2018-11-05 08:01:40,2018-09-29,Apple Inc.,10-K,2018-11-05,132000,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm
AAPL,0000320193,2017-11-03 08:01:37,2017-09-30,Apple Inc.,10-K,2017-11-03,123000,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.htm
AAPL,0000320193,2016-10-26 16:42:16,2016-09-24,Apple Inc.,10-K,2016-10-26,116000,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.htm
AAPL,0000320193,2015-10-28 16:31:09,2015-09-26,Apple Inc.,10-K,2015-10-28,110000,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.htm
AAPL,0000320193,2014-10-27 17:11:55,2014-09-27,Apple Inc.,10-K,2014-10-27,92600,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.htm
AAPL,0000320193,2013-10-29 20:38:28,2013-09-28,Apple Inc.,10-K,2013-10-30,80300,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.htm
AAPL,0000320193,2012-10-31 17:07:19,2012-09-29,Apple Inc.,10-K,2012-10-31,72800,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.htm
AAPL,0000320193,2011-10-26 16:35:25,2011-09-24,Apple Inc.,10-K,2011-10-26,60400,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.htm
AAPL,0000320193,2010-10-27 16:36:21,2010-09-25,Apple Inc.,10-K,2010-10-27,46600,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/0001193125-10-238044-index.htm
AAPL,0000320193,2009-10-27 16:18:29,2009-09-26,Apple Inc.,10-K,2009-10-27,34300,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/0001193125-09-214859-index.htm
